name,link,color,total_games,eco,last_played,performance,avg_player,p_wins,p_draws,p_loses,moves
"Sicilian Defense, Kan Variation, Maroczy Bind, Hedgehog Variation","https://old.chesstempo.com/gamedb/opening/2108","black",24,"B41","20-11-2019","2019","2164",0.292,0.083,0.625,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 a6 5.c4 g6"
"Sicilian Defense, Kan Variation, Polugaevsky Variation","https://old.chesstempo.com/gamedb/opening/2111","black",5858,"B42","20-02-2021","2305","2355",0.339,0.306,0.355,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 a6 5.Ad3 Ac5"
"Sicilian Defense, Kan Variation, Swiss Cheese Variation","https://old.chesstempo.com/gamedb/opening/2112","black",1117,"B42","08-03-2020","2330","2389",0.334,0.32,0.346,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 a6 5.Ad3 g6"
"Sicilian Defense, Kan Variation, Wing Attack","https://old.chesstempo.com/gamedb/opening/2113","black",4037,"B43","21-03-2021","2281","2306",0.449,0.269,0.283,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 a6 5.Cc3 b5"
"Sicilian Defense, Katalimov Variation","https://old.chesstempo.com/gamedb/opening/2116","black",888,"B27","28-01-2021","2229","2288",0.374,0.23,0.396,"1.e4 c5 2.Cf3 b6"
"Sicilian Defense, Kupreichik Variation","https://old.chesstempo.com/gamedb/opening/2120","black",1175,"B56","17-03-2021","2323","2364",0.383,0.313,0.304,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 Ad7"
"Sicilian Defense, Kveinis Variation","https://old.chesstempo.com/gamedb/opening/2121","black",1249,"B40","20-01-2021","2171","2213",0.34,0.291,0.37,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 Db6"
"Sicilian Defense, Lasker-Pelikan Variation, Bird Variation","https://old.chesstempo.com/gamedb/opening/2123","black",1362,"B33","15-02-2021","2182","2243",0.268,0.289,0.444,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 e5 6.Cdb5 d6 7.Ag5 a6 8.Ca3 Ae6"
"Sicilian Defense, Lasker-Pelikan Variation, General","https://old.chesstempo.com/gamedb/opening/2126","black",5883,"B33","13-03-2021","2158","2180",0.334,0.272,0.395,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 e5"
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation","https://old.chesstempo.com/gamedb/opening/2124","black",257,"B33","08-02-2020","2033","2119",0.226,0.195,0.58,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 e5 6.Cdb5 d6 7.Ag5 a6 8.Ca3 b5"
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation","https://old.chesstempo.com/gamedb/opening/2128","black",5283,"B33","20-03-2021","2268","2296",0.301,0.308,0.391,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 e5 6.Cdb5 d6 7.Ag5 a6 8.Ca3 b5 9.Axf6 gxf6 10.Cd5 f5"
"Sicilian Defense, Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation","https://old.chesstempo.com/gamedb/opening/2808","black",3630,"B33","10-03-2021","2230","2256",0.303,0.305,0.393,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 e5 6.Cdb5 d6 7.Ag5 a6 8.Ca3 b5 9.Axf6 gxf6 10.Cd5 Ag7"
"Sicilian Defense, L̦wenthal Variation","https://old.chesstempo.com/gamedb/opening/2129","black",4162,"B32","16-03-2021","2051","2080",0.303,0.284,0.413,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 e5"
"Sicilian Defense, Marshall Counterattack","https://old.chesstempo.com/gamedb/opening/1901","black",254,"B40","21-01-2021","1967","1989",0.26,0.252,0.488,"1.e4 c5 2.Cf3 e6 3.d4 d5"
"Sicilian Defense, Marshall Gambit","https://old.chesstempo.com/gamedb/opening/2130","black",207,"B23","07-03-2020","1589","1577",0.203,0.135,0.662,"1.e4 c5 2.Cc3 e6 3.d4 d5"
"Sicilian Defense, McDonnell Attack, Tal Gambit","https://old.chesstempo.com/gamedb/opening/2132","black",703,"B21","26-02-2021","2255","2238",0.457,0.297,0.246,"1.e4 c5 2.f4 d5 3.exd5 Cf6"
"Sicilian Defense, Modern Variations","https://old.chesstempo.com/gamedb/opening/2136","black",11898,"B50","28-03-2021","2123","2123",0.4,0.245,0.355,"1.e4 c5 2.Cf3 d6"
"Sicilian Defense, Modern Variations, Anti-Qxd4 Move Order","https://old.chesstempo.com/gamedb/opening/2138","black",699,"B50","22-01-2021","2286","2308",0.378,0.288,0.335,"1.e4 c5 2.Cf3 d6 3.d4 Cf6"
"Sicilian Defense, Modern Variations, Anti-Qxd4 Move Order, Accepted","https://old.chesstempo.com/gamedb/opening/2139","black",268,"B50","05-03-2020","2234","2296",0.254,0.366,0.381,"1.e4 c5 2.Cf3 d6 3.d4 Cf6 4.dxc5 Cxe4"
"Sicilian Defense, Modern Variations, Main Line","https://old.chesstempo.com/gamedb/opening/2140","black",850,"B57","19-03-2021","2034","2031",0.495,0.226,0.279,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6"
"Sicilian Defense, Mongoose Variation","https://old.chesstempo.com/gamedb/opening/2142","black",84,"B27","16-12-2019","2099","2106",0.298,0.286,0.417,"1.e4 c5 2.Cf3 Da5"
